Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 5),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 5),Unit Price (@ Batch Size: 5),Unit Price (@ Batch Size: 5),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Digi-Key],SKU [Digi-Key],Packaging [Digi-Key],Unit Price (@ Batch Size: 5) [Digi-Key],Line Total [Digi-Key],Batch Total [Digi-Key],In Stock [Digi-Key],MOQ [Digi-Key],URL [Digi-Key],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,
2,C0603C104K4RAC,KEMET,C0603C104K4RACTU,https://octopart.com/c0603c104k4ractu-kemet-93067,C8 C9,,Unpolarized capacitor,10,399-1096-1-ND,C0603C104K4RACTU,19C6005,Cut Tape,,Cut Tape,0.025,0.014,0.1,19246,0,0,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0b5a064&sid=459&ppid=93067&vpid=1393142&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0516535&sid=2401&ppid=93067&vpid=44736923&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=03b6bdf&sid=2402&ppid=93067&vpid=16452117&ct=offers,Digi-Key,399-1096-1-ND,Cut Tape,0.025,0.05,0.25,19246,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0b5a064&sid=459&ppid=93067&vpid=1393142&ct=offers,
2,C0603C106M9PACTU,KEMET,C0603C106M9PACTU,https://octopart.com/c0603c106m9pactu-kemet-8375727,C6 C7,,Unpolarized capacitor,10,399-5504-1-ND,C0603C106M9PACTU,93K5998,Cut Tape,,Cut Tape,0.284,0.792,0.106,1373725,323373,0,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02dd5c8&sid=459&ppid=8375727&vpid=34046108&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0fb4093&sid=2401&ppid=8375727&vpid=44736935&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=0d26d3d&sid=2402&ppid=8375727&vpid=16452816&ct=offers,Digi-Key,399-5504-1-ND,Cut Tape,0.284,0.568,2.84,1373725,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02dd5c8&sid=459&ppid=8375727&vpid=34046108&ct=offers,
2,1276-1019-1-ND,Samsung,CL10B105KO8NNNC,https://octopart.com/cl10b105ko8nnnc-samsung-19018973,C4 C5,,Unpolarized capacitor,10,1276-1019-1-ND,,,Cut Tape,,,0.046,,,16045,,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=032bdd9&sid=459&ppid=19018973&vpid=72523937&ct=offers,,,Digi-Key,1276-1019-1-ND,Cut Tape,0.046,0.092,0.45999999999999996,16045,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=032bdd9&sid=459&ppid=19018973&vpid=72523937&ct=offers,
2,C0603C475M8PACTU,KEMET,C0603C475M8PACTU,https://octopart.com/c0603c475m8pactu-kemet-9563189,C1 C2,,Unpolarized capacitor,10,399-9100-1-ND,C0603C475M8PACTU,12N4440,Cut Tape,,Cut Tape,0.175,0.444,0.03,89404,81,2362,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0308052&sid=459&ppid=9563189&vpid=53207358&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0df8b48&sid=2401&ppid=9563189&vpid=39050851&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=059c391&sid=2402&ppid=9563189&vpid=16453342&ct=offers,Digi-Key,399-9100-1-ND,Cut Tape,0.175,0.35,1.75,89404,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0308052&sid=459&ppid=9563189&vpid=53207358&ct=offers,
1,LTST-C190KGKT,Lite-On,LTST-C190KGKT,https://octopart.com/ltst-c190kgkt-lite-on-549897,D3,,LED generic,5,160-1435-1-ND,LTST-C190KGKT,,Cut Tape,,,0.27,0.25,,1955094,460854,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0e36afa&sid=459&ppid=549897&vpid=1574824&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0445d33&sid=2401&ppid=549897&vpid=37629105&ct=offers,,Digi-Key,160-1435-1-ND,Cut Tape,0.27,0.27,1.35,1955094,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0e36afa&sid=459&ppid=549897&vpid=1574824&ct=offers,
1,LTST-C190KRKT,Lite-On,LTST-C190KRKT,https://octopart.com/ltst-c190krkt-lite-on-549893,D2,,LED generic,5,160-1436-1-ND,LTST-C190KRKT,,Cut Tape,,,0.27,0.25,,1123972,275108,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0fbf687&sid=459&ppid=549893&vpid=1060504&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0521c0e&sid=2401&ppid=549893&vpid=37628911&ct=offers,,Digi-Key,160-1436-1-ND,Cut Tape,0.27,0.27,1.35,1123972,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0fbf687&sid=459&ppid=549893&vpid=1060504&ct=offers,
1,MCP73831T-2DCI/OT,Microchip,MCP73831T-2DCI/OT,https://octopart.com/mcp73831t-2dci%2Fot-microchip-422782,IC-Charger1,,,5,MCP73831T-2DCI/OTCT-ND,MCP73831T-2DCI/OT,84R6271,Cut Tape,,Cut Tape,0.59,0.68,0.58,1411,5517,75,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02ff079&sid=459&ppid=422782&vpid=34018680&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=04bcba7&sid=2401&ppid=422782&vpid=37630703&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0ab0f13&sid=2402&ppid=422782&vpid=31043342&ct=offers,Digi-Key,MCP73831T-2DCI/OTCT-ND,Cut Tape,0.59,0.59,2.9499999999999997,1411,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02ff079&sid=459&ppid=422782&vpid=34018680&ct=offers,
1,ERJ-3GEYJ104V,Panasonic,ERJ-3GEYJ104V,https://octopart.com/erj-3geyj104v-panasonic-55421973,R12,,Resistor,5,P100KGCT-ND,ERJ-3GEYJ104V,63W0974,Cut Tape,,Cut Tape,0.1,0.14,,2210351,200676,5365,1,,10,https://octopart.com/click/track?country=US&ak=68b25f31&sig=081943f&sid=459&ppid=55421973&vpid=188062086&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0fb8efc&sid=2401&ppid=55421973&vpid=187840252&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=090f789&sid=2402&ppid=55421973&vpid=265591715&ct=offers,Digi-Key,P100KGCT-ND,Cut Tape,0.1,0.1,0.5,2210351,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=081943f&sid=459&ppid=55421973&vpid=188062086&ct=offers,
2,ERJ-3GEYJ103V,Panasonic,ERJ-3GEYJ103V,https://octopart.com/erj-3geyj103v-panasonic-55403671,R1 R2,,Resistor,10,P10KGCT-ND,ERJ-3GEYJ103V,65T8553,Cut Tape,,Cut Tape,0.041,0.02,0.005,8864740,1616325,5927,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0ca5341&sid=459&ppid=55403671&vpid=188062082&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=077bbb1&sid=2401&ppid=55403671&vpid=187840249&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0ce2f61&sid=2402&ppid=55403671&vpid=190851757&ct=offers,Digi-Key,P10KGCT-ND,Cut Tape,0.041,0.082,0.41000000000000003,8864740,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0ca5341&sid=459&ppid=55403671&vpid=188062082&ct=offers,
6,ERJ-3GEYJ203V,Panasonic,ERJ-3GEYJ203V,https://octopart.com/erj-3geyj203v-panasonic-55389242,R3 R4 R5 R6 R7 R8,,Resistor,30,P20KGCT-ND,ERJ-3GEYJ203V,65T8599,Cut Tape,,Cut Tape,0.041,0.02,0.005,897864,131678,60000,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=03c0afc&sid=459&ppid=55389242&vpid=188062177&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=08e2d50&sid=2401&ppid=55389242&vpid=187840303&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=06fa75e&sid=2402&ppid=55389242&vpid=190851781&ct=offers,Digi-Key,P20KGCT-ND,Cut Tape,0.041,0.246,1.23,897864,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=03c0afc&sid=459&ppid=55389242&vpid=188062177&ct=offers,
1,ERJ-3GEYJ202V,Panasonic,ERJ-3GEYJ202V,https://octopart.com/erj-3geyj202v-panasonic-55389241,R11,,Resistor,5,P2.0KGCT-ND,ERJ-3GEYJ202V,65T8598,Cut Tape,,Cut Tape,0.1,0.14,0.005,1178454,192644,0,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=01cce6b&sid=459&ppid=55389241&vpid=188062174&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0e49233&sid=2401&ppid=55389241&vpid=187840300&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=02d8a32&sid=2402&ppid=55389241&vpid=190851780&ct=offers,Digi-Key,P2.0KGCT-ND,Cut Tape,0.1,0.1,0.5,1178454,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=01cce6b&sid=459&ppid=55389241&vpid=188062174&ct=offers,
2,ERJ-3GEYJ471V,Panasonic,ERJ-3GEYJ471V,https://octopart.com/erj-3geyj471v-panasonic-55405018,R9 R10,,Resistor,10,P470GCT-ND,ERJ-3GEYJ471V,65T8653,Cut Tape,,Cut Tape,0.041,0.02,0.005,547560,79579,0,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=094f922&sid=459&ppid=55405018&vpid=188062299&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=09972f8&sid=2401&ppid=55405018&vpid=187840379&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=047def1&sid=2402&ppid=55405018&vpid=190851805&ct=offers,Digi-Key,P470GCT-ND,Cut Tape,0.041,0.082,0.41000000000000003,547560,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=094f922&sid=459&ppid=55405018&vpid=188062299&ct=offers,
